,id,steps,average heartrate,average stress,average sleep start,duration,average midsleep,average awake time,type,exams period,weekend
64,122,9783.916666666666,81.16666666666667,31.25,23:36,8.141666666666667,03:43,07:46,Night,No,No
65,122,8210.166666666666,80.5,35.166666666666664,00:23,7.686,04:23,08:11,Night,Yes,Yes
66,122,10237.3,82.3,31.9,00:08,8.31,04:23,08:29,Night,No,Yes
67,122,5984.714285714285,81.35714285714286,37.642857142857146,23:51,7.158461538461538,03:27,07:00,Night,Yes,No
68,123,8600.363636363636,61.09090909090909,22.636363636363637,01:52,8.098181818181818,05:47,10:05,Night,No,Yes
69,123,8449.5,58.166666666666664,18.5,00:20,8.556666666666667,04:40,09:00,Night,Yes,Yes
70,123,8658.448275862069,61.172413793103445,21.24137931034483,01:06,8.716785714285715,05:25,09:53,Night,No,No
71,123,7498.75,59.875,20.5625,00:00,8.943125,04:22,08:56,Night,Yes,No
72,124,12112.185185185184,68.18518518518519,26.77777777777778,01:51,7.680416666666666,05:41,09:31,Night,No,No
73,124,9767.0,65.9375,25.0625,01:37,8.022499999999999,05:30,09:34,Night,Yes,No
74,124,7492.0,65.5,24.0,01:29,8.173333333333334,05:20,09:29,Night,Yes,Yes
75,124,11686.90909090909,68.0909090909091,24.09090909090909,01:27,8.095454545454546,05:20,09:26,Night,No,Yes
76,125,4448.3,80.16666666666667,30.9,00:20,7.723793103448276,04:12,08:06,Night,No,No
77,125,3865.3333333333335,79.5,28.0,00:18,7.91,04:19,08:09,Night,Yes,Yes
78,125,4155.0625,80.375,29.5,00:03,8.113125,04:04,08:14,Night,Yes,No
79,125,3923.3636363636365,79.18181818181819,28.363636363636363,00:32,8.482,04:45,09:12,Night,No,Yes
80,126,4067.5,81.3125,36.0625,00:19,9.447333333333335,05:08,09:42,Night,Yes,No
81,126,5880.185185185185,88.22222222222223,35.51851851851852,00:15,8.717,04:41,08:57,Night,No,No
82,126,2772.3333333333335,80.66666666666667,30.0,00:50,9.35,05:49,10:20,Night,Yes,Yes
83,126,2792.0,83.0,28.714285714285715,01:30,8.673333333333334,05:40,10:10,Night,No,Yes
84,127,7802.222222222223,85.55555555555556,35.888888888888886,00:29,8.508333333333333,04:40,09:00,Night,No,Yes
85,127,7833.0952380952385,83.25,30.9,00:05,8.082857142857142,04:13,08:08,Night,No,No
86,127,4272.8,84.6,41.0,00:30,7.5275,04:00,08:00,Night,Yes,Yes
87,127,1556.9375,82.0625,35.375,00:09,8.224615384615385,04:09,08:27,Night,Yes,No
88,129,13689.666666666666,91.75,40.5,03:07,7.186,06:49,10:23,Night,No,Yes
89,129,9644.4,83.4,28.6,03:00,7.720000000000001,06:47,10:23,Night,Yes,Yes
90,129,9147.857142857143,84.85714285714286,33.642857142857146,01:40,6.947500000000001,05:15,08:46,Night,Yes,No
91,129,10622.041666666666,83.66666666666667,31.583333333333332,01:00,8.14235294117647,05:09,09:18,Night,No,No
92,130,7244.608695652174,87.31818181818181,30.363636363636363,23:07,9.140625,03:41,08:11,Night,No,No
93,130,3809.3,83.2,28.8,21:45,11.18125,03:22,09:07,Night,No,Yes
94,130,2472.785714285714,88.85714285714286,32.285714285714285,23:10,8.967,03:30,08:06,Night,Yes,No
95,130,1549.0,85.4,40.6,23:20,9.736666666666666,04:19,08:55,Night,Yes,Yes
96,131,5606.4,81.2,32.0,03:05,9.203999999999999,07:57,12:10,Night,Yes,Yes
97,131,10950.75,85.5,34.0,04:00,9.764,09:13,14:02,Night,No,Yes
98,131,5969.65,79.0,24.0,01:54,9.57,06:42,11:35,Night,No,No
99,131,3231.6,82.3,35.9,01:45,9.2,06:45,11:14,Night,Yes,No
100,201,16022.133333333333,73.13333333333334,28.6,22:24,9.260833333333332,02:54,07:35,Morning,Yes,No
101,201,14101.758620689656,70.3103448275862,27.06896551724138,22:31,9.591111111111111,03:14,08:13,Morning,No,No
102,201,10694.333333333334,70.5,30.0,23:45,9.685,04:15,09:14,Morning,Yes,Yes
103,201,10195.545454545454,67.27272727272727,22.272727272727273,22:33,11.47111111111111,04:20,10:14,Morning,No,Yes
104,202,4212.2,75.1,22.033333333333335,23:06,7.898965517241379,03:01,07:10,Morning,No,No
105,202,2875.1875,74.0625,26.25,22:52,8.17125,02:59,07:22,Morning,Yes,No
106,202,2124.5,73.0,23.333333333333332,23:39,7.728333333333334,03:49,07:40,Morning,Yes,Yes
107,202,4407.615384615385,75.46153846153847,19.76923076923077,23:11,9.353636363636364,04:05,08:44,Morning,No,Yes
108,203,2684.1428571428573,87.14285714285714,37.214285714285715,21:53,7.32888888888889,01:19,05:00,Morning,Yes,No
109,203,8332.407407407407,88.07407407407408,33.51851851851852,22:28,7.629047619047619,02:16,06:14,Morning,No,No
110,203,3042.5,87.5,33.333333333333336,22:00,7.243333333333333,01:19,05:00,Morning,Yes,Yes
111,203,7583.083333333333,85.08333333333333,28.166666666666668,22:10,8.257000000000001,02:23,06:30,Morning,No,Yes
112,204,6212.8,72.0,32.2,,,,,Morning,No,Yes
113,204,3079.4285714285716,71.5,30.071428571428573,23:24,8.464,03:36,07:48,Morning,Yes,No
114,204,6125.9,75.35,38.0,,,,,Morning,No,No
115,204,5088.0,71.5,26.833333333333332,23:00,9.145,03:29,08:00,Morning,Yes,Yes
116,205,8278.962962962964,80.55555555555556,30.703703703703702,23:01,8.295652173913044,03:10,07:23,Morning,No,No
117,205,6557.0,77.0,24.2,22:44,8.835,03:00,07:30,Morning,Yes,Yes
118,205,4311.533333333334,78.93333333333334,33.8,22:43,8.713636363636363,03:11,07:22,Morning,Yes,No
119,205,5897.6,78.2,23.6,23:14,8.675,03:42,08:05,Morning,No,Yes
120,206,10717.387096774193,82.29032258064517,27.322580645161292,23:49,7.0055555555555555,03:25,06:57,Morning,No,No
121,206,7304.5625,83.25,31.9375,23:36,7.45,03:16,06:52,Morning,Yes,No
122,206,11980.454545454546,88.0,34.54545454545455,00:45,7.395,04:22,08:07,Morning,No,Yes
123,206,7931.0,82.16666666666667,28.666666666666668,23:45,7.568333333333334,03:52,07:40,Morning,Yes,Yes
124,207,9813.814814814816,80.66666666666667,23.48148148148148,00:07,6.863846153846154,03:26,06:52,Morning,No,No
125,207,4578.166666666667,79.16666666666667,28.166666666666668,00:00,8.038,04:12,08:00,Morning,Yes,Yes
126,207,6124.214285714285,81.0,25.5,23:21,7.16,03:05,06:49,Morning,Yes,No
127,207,8854.818181818182,82.63636363636364,27.363636363636363,01:25,7.726000000000001,05:12,09:11,Morning,No,Yes
128,208,5070.739130434783,86.8695652173913,29.347826086956523,23:43,8.15952380952381,03:45,07:58,Morning,No,No
129,208,5883.0,88.0,29.727272727272727,23:53,9.515555555555556,04:33,09:25,Morning,No,Yes
130,208,2091.5,84.0,30.0,23:43,8.375,03:45,08:01,Morning,Yes,Yes
131,208,3300.0625,85.875,31.375,23:37,8.81076923076923,03:56,08:24,Morning,Yes,No
132,209,6329.666666666667,82.0,33.666666666666664,00:11,7.511666666666667,03:51,07:40,Morning,Yes,Yes
133,209,8044.727272727273,82.6,32.7,22:24,9.148888888888889,03:05,07:46,Morning,No,Yes
134,209,8666.111111111111,79.88888888888889,28.85185185185185,23:36,7.826956521739131,03:25,07:18,Morning,No,No
135,209,3561.75,81.9375,39.1875,22:17,8.314,02:22,06:35,Morning,Yes,No
136,210,5542.727272727273,79.45454545454545,26.727272727272727,00:33,6.832222222222223,03:53,07:26,Morning,No,Yes
137,210,3469.0,76.16666666666667,24.166666666666668,00:00,7.08,03:35,07:23,Morning,Yes,Yes
138,210,6568.357142857143,76.64285714285714,22.5,23:40,7.072592592592592,03:15,06:52,Morning,No,No
139,210,2986.75,78.125,27.375,00:03,6.486923076923077,03:26,06:55,Morning,Yes,No
140,211,6167.8,79.6,16.8,23:14,7.922499999999999,03:14,07:45,Morning,Yes,Yes
141,211,7763.666666666667,83.82926829268293,25.175,23:05,7.300909090909091,02:43,06:38,Morning,No,No
142,211,9123.75,92.5,31.266666666666666,22:19,8.32,03:00,07:00,Morning,No,Yes
143,211,5536.857142857143,81.46153846153847,23.23076923076923,23:07,7.81125,03:15,07:15,Morning,Yes,No
144,213,4156.833333333333,81.5,28.166666666666668,22:49,9.511666666666667,03:29,08:19,Morning,Yes,Yes
145,213,4556.375,82.6875,27.8125,22:18,9.164375,03:11,07:45,Morning,Yes,No
146,213,6676.454545454545,83.27272727272727,27.363636363636363,23:41,8.804545454545455,04:16,08:32,Morning,No,Yes
147,213,7117.0,84.39285714285714,29.214285714285715,23:00,8.898333333333333,03:29,07:54,Morning,No,No
148,214,3866.4285714285716,88.28571428571429,32.785714285714285,23:25,6.791538461538462,02:50,06:11,Morning,No,No
149,214,3827.8333333333335,89.0,31.0,23:49,8.722727272727273,04:11,08:39,Morning,No,Yes
150,214,3567.3333333333335,89.83333333333333,31.333333333333332,00:20,7.958333333333333,04:10,08:20,Morning,Yes,Yes
151,214,2670.125,88.125,33.9375,23:51,7.765333333333333,03:38,07:33,Morning,Yes,No
152,215,4941.6551724137935,89.27586206896552,42.51724137931034,23:20,6.606923076923077,02:36,05:49,Morning,No,No
153,215,3646.0,89.75,43.125,00:38,6.22625,03:45,06:58,Morning,Yes,No
